ONS ID,ONS region ID,Constituency name,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,Con %,Lab %,LD %,RUK %,Green %,SNP %,PC %,DUP %,SF %,SDLP %,UUP %,APNI %,Other %,Other Win %
E14001396,E12000006,North Norfolk,Steffan,Aquarone,Male,LD gain from Con,LD,Con,71438,47043,138,2585,16903,2878,19488,6368,1406,0,0,0,0,0,0,0,0,0,35.8258621055086,6.09991310061253,41.3047625103325,13.4969585214387,2.98001314088298,0,0,0,0,0,0,0,0,0
E14001397,E12000001,North Northumberland,David,Smith,Male,Lab gain from Con,Lab,Con,74190,48843,149,5067,12788,17855,5169,7688,1743,0,0,0,0,0,0,0,3600,0,26.1022207707381,36.4447256694971,10.550702155454,15.6923579359895,3.55772370999347,0,0,0,0,0,0,0,7.3481384715872,0
E14001398,E12000005,North Shropshire,Helen,Morgan,Female,LD gain from Con,LD,Con,77573,49594,120,15311,10903,3423,26214,7687,1234,0,0,0,0,0,0,0,133,0,21.9314478818844,6.88538439876091,52.7296133885827,15.4624451864666,2.48219817355272,0,0,0,0,0,0,0,0.267530273162489,0
E14001399,E12000009,North Somerset,Sadik,Al-Hassan,Male,Lab gain from Con,Lab,Con,74426,53766,177,639,18499,19138,7121,5602,3273,0,0,0,0,0,0,0,133,0,34.2936062139666,35.4781899412343,13.2009713957325,10.3850360565782,6.06751571102831,0,0,0,0,0,0,0,0.246556550432864,0
E14001400,E12000005,North Warwickshire and Bedworth,Rachel,Taylor,Female,Lab gain from Con,Lab,Con,69752,40940,141,2198,12529,14727,1228,10701,1755,0,0,0,0,0,0,0,0,0,30.4982838781919,35.8486891750444,2.98921642608505,26.0485382536939,4.27204790535771,0,0,0,0,0,0,0,0,0
E14001401,E12000006,North West Cambridgeshire,Sam,Carling,Male,Lab gain from Con,Lab,Con,75915,44424,184,39,14746,14785,3192,8741,2960,0,0,0,0,0,0,0,0,0,33.0568507890961,33.1442790530846,7.15566714490674,19.5951398852224,6.63558106169297,0,0,0,0,0,0,0,0,0
E14001402,E12000006,North West Essex,Kemi,Badenoch,Female,Con hold,Con,Lab,79698,54386,215,2610,19360,16750,6055,7668,2846,0,0,0,0,0,0,0,1707,0,35.4572260581308,30.6770938261204,11.0895404846065,14.0436988333547,5.21235874800828,0,0,0,0,0,0,0,3.12631636783209,0
E14001403,E12000008,North West Hampshire,Kit,Malthouse,Male,Con hold,Con,Lab,78629,50823,171,3288,17770,14482,7626,7734,2745,0,0,0,0,0,0,0,466,0,34.8472369298349,28.3994195395537,14.9547005530062,15.1664901753147,5.38298623367455,0,0,0,0,0,0,0,0.91383299996078,0
E14001404,E12000004,North West Leicestershire,Amanda,Hack,Female,Lab gain from Con,Lab,Con,77750,48572,137,1012,15859,16871,1629,9678,2831,0,0,0,0,0,0,0,1704,0,32.5586647231518,34.6363095115892,3.34435114660535,19.8690180459463,5.81206758504588,0,0,0,0,0,0,0,3.49832679792236,0
E14001405,E12000006,North West Norfolk,James,Wild,Male,Con hold,Con,Lab,74415,44566,187,4954,16097,11143,6492,8697,2137,0,0,0,0,0,0,0,0,0,35.9685384220052,24.8988894599245,14.5062900811119,19.4333340781624,4.775098876053,0,0,0,0,0,0,0,0,0
E14001406,E12000004,Northampton North,Lucy,Rigby,Female,Lab gain from Con,Lab,Con,75575,41813,138,9014,9195,18209,2251,7010,2558,0,0,0,0,0,0,0,2590,0,21.9184286429406,43.4054015398918,5.36578389072966,16.7099711568258,6.09759004552931,0,0,0,0,0,0,0,6.17386951443351,0
E14001407,E12000004,Northampton South,Mike,Reader,Male,Lab gain from Con,Lab,Con,70393,43904,159,4071,12819,16890,3193,8210,2398,0,0,0,0,0,0,0,394,0,29.0924358305154,38.3314799264689,7.24644259355922,18.6324126818419,5.44220774799719,0,0,0,0,0,0,0,0.894174250504959,0
E14001408,E12000006,Norwich North,Alice,Macdonald,Female,Lab gain from Con,Lab,Con,73717,45765,185,10850,9944,20794,2073,8229,4372,0,0,0,0,0,0,0,353,0,21.6409140369967,45.2535364526659,4.51142546245919,17.9085963003264,9.51468988030468,0,0,0,0,0,0,0,0.76822633297062,0
E14001409,E12000006,Norwich South,Clive,Lewis,Male,Lab hold,Lab,Green,76296,45095,179,13239,5806,21484,3577,5227,8245,0,0,0,0,0,0,0,756,0,12.8241374740469,47.4532844458188,7.90078190572956,11.545257763838,18.2113354243053,0,0,0,0,0,0,0,1.66983257498785,0
E14001410,E12000004,Nottingham East,Nadia,Whittome,Female,Lab hold,Lab,Green,69395,36401,226,15162,3925,19494,1741,3578,4332,0,0,0,0,0,0,0,3331,0,10.7161383678707,53.2230321893685,4.75332405056379,9.76874982936085,11.8273404865263,0,0,0,0,0,0,0,9.09438392442734,0
E14001411,E12000004,Nottingham North and Kimberley,Alex,Norris,Male,Lab hold,Lab,RUK,73768,35007,200,9427,6787,16480,1336,7053,3351,0,0,0,0,0,0,0,0,0,19.2774164228705,46.8088732354361,3.79469991763002,20.0329479932968,9.517993580822,0,0,0,0,0,0,0,0,0
E14001412,E12000004,Nottingham South,Lilian,Greenwood,Female,Lab hold,Lab,Con,64255,32879,164,10294,5285,15579,2059,4936,2923,0,0,0,0,0,0,0,2097,0,15.994310443967,47.147656084496,6.23127440002421,14.9381109463426,8.84604908755258,0,0,0,0,0,0,0,6.34627606452199,0
E14001413,E12000005,Nuneaton,Jodie,Gosling,Female,Lab gain from Con,Lab,Con,71843,41213,105,3479,11737,15216,1340,9059,2894,0,0,0,0,0,0,0,967,0,28.4065056391887,36.826564693354,3.24313858366813,21.9250689772012,7.00421123965342,0,0,0,0,0,0,0,2.34038433612469,0
E14001414,E12000007,Old Bexley and Sidcup,Louie,French,Male,Con hold,Con,Lab,73198,47633,126,3548,17910,14362,1927,10384,2601,0,0,0,0,0,0,0,449,0,37.5007851923198,30.0718189241818,4.03484160053602,21.7424987960384,5.44609392993991,0,0,0,0,0,0,0,0.940136937540568,0
E14001415,E12000002,Oldham East and Saddleworth,Debbie,Abrahams,Female,Lab hold,Lab,RUK,73460,40065,157,6357,6838,14091,3386,7734,1490,0,0,0,0,0,0,0,6526,0,17.0006464124111,35.0330664810303,8.41827855402516,19.228283029188,3.70444035602407,0,0,0,0,0,0,0,16.2249515190692,0
